bin   short   long     flux       H         H2          O          O2         CO        CO2         C           S          N          N2         NO        CH4        HCN       C2H2      H2O        He
 82    991    993   3.50E+08   0.00E+00   0.00E+00   0.00E+00   3.00E-18   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   3.00E-17   0.00E+00   0.00E+00
 83    993   1024   2.50E+08   0.00E+00   0.00E+00   0.00E+00   1.00E-18   0.00E+00   0.00E+00   1.50E-17   2.00E-17   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00   3.00E-17   0.00E+00   0.00E+00
 84   1024   1030   3.60E+09   0.00E+00   0.00E+00   0.00E+00   1.00E-19   0.00E+00   0.00E+00   1.50E-17   2.00E-17   0.00E+00   0.00E+00   5.00E-18   0.00E+00   0.00E+00   2.00E-17   0.00E+00   0.00E+00
 85   1030   1035   2.46E+09   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.50E-17   2.00E-17   0.00E+00   0.00E+00   5.00E-18   0.00E+00   0.00E+00   2.00E-17   0.00E+00   0.00E+00
 86   1035   1045   1.83E+09   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.50E-17   2.00E-17   0.00E+00   0.00E+00   5.00E-18   0.00E+00   0.00E+00   1.00E-17   0.00E+00   0.00E+00
 87   1045   1057   1.57E+08   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.50E-17   2.00E-17   0.00E+00   0.00E+00   5.00E-18   0.00E+00   0.00E+00   5.00E-18   0.00E+00   0.00E+00
 88   1057   1070   1.70E+08   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.50E-17   2.00E-17   0.00E+00   0.00E+00   5.00E-18   0.00E+00   0.00E+00   2.00E-18   0.00E+00   0.00E+00
 89   1070   1080   1.31E+08   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.50E-17   2.00E-17   0.00E+00   0.00E+00   5.00E-18   0.00E+00   0.00E+00   1.00E-18   0.00E+00   0.00E+00
 90   1080   1090   7.21E+08   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.50E-17   5.00E-17   0.00E+00   0.00E+00   5.00E-18   0.00E+00   0.00E+00   1.00E-19   0.00E+00   0.00E+00
 91   1090   1100   1.31E+08   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.50E-17   5.00E-17   0.00E+00   0.00E+00   5.00E-18   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
 92   1100   1110   1.31E+08   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.50E-17   3.00E-17   0.00E+00   0.00E+00   3.00E-18   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
 93   1110   1120   1.31E+08   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.70E-17   0.00E+00   0.00E+00   3.00E-18   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
 94   1120   1130   6.21E+08   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.00E-18   0.00E+00   0.00E+00   3.00E-18   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
 95   1130   1140   1.31E+08   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.00E-18   0.00E+00   0.00E+00   3.00E-18   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
 96   1140   1150   1.31E+08   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   2.00E-18   0.00E+00   0.00E+00   3.00E-18   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
 97   1150   1157   9.15E+07   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.70E-17   0.00E+00   0.00E+00   3.00E-18   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
 98   1157   1163   7.84E+07   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.70E-17   0.00E+00   0.00E+00   3.00E-18   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
 99   1163   1170   1.03E+08   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.70E-17   0.00E+00   0.00E+00   2.00E-18   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
100   1170   1176   2.66E+08   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.70E-17   0.00E+00   0.00E+00   2.00E-18   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
101   1176   1183   1.12E+08   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00   1.70E-17   0.00E+00   0.00E+00   2.00E-18   0.00E+00   0.00E+00   0.00E+00   0.00E+00   0.00E+00
